Finglish	Persian
intouri ham digar ra seda mizanim.	اینطوری همدیگه رو صدا بزنیم
salam refigh hamash rou nakhour.	سلام، رفیق همشو نخور
elias agar najounbi babr ha mikhouranat.	الیاس، اگه نجنبی، ببرا می خورنت
mesleh sousmar khatel va kheyreh.	مثل سوسمار قاتل و غيره
in bayad kheili sakht basheh.	اين بايد خيلي سخت باشه
ageh gharar boud kharizeh aadi besheh chera zan barayeh shooharash aadi nemishavad.	اگه قرار بود غریزه عادی بشه چرا زن برای شوهرش عادی نمیشه؟
choun on naghsh kheili khoubeh.	چون اون نقش خيلي خوبه
omid behtar ast behesh begouim yek nafar parandeh ra gereft chetoure?	امید،بهتره بهش بگیم یه نفر پرنده رو گرفت،چطوره؟
amadin hosein ra nejat bedin?	اومدین حسن رو نجات بدین؟
faghat ye jast o ghiz bouzourg.	فقط يه جست و خيز بزرگ
vali sabr konid inja yek noghteh roushan ast.	ولی صبر کنید -- اینجا یک نقطهٔ روشن است
in tedad zanani ast ke ghabl az hejdah salegi ezdevaj kardeand.	این تعداد زنانی است که قبل از ۱۸ سالگی ازدواج کردهاند
chetouri akhe beranko ba dast khali timash ra board final.	چه جوري آخه برانكو با دست خالي تيمشو بٌرد فينال ؟
delam nemikhahad beram doktor mitarsam chizi bashad va baz ham dardesar ha shorou besheh.	دلمم نمیخاد برم دکتر،میترسم چیزی باشه وبازم دردسرا شروع بشه
mikhan ghahve khaneh bokounandash.	ميخان قهوه خونه بکننش
babam va dadash ham bargashtan khozestan.	بابام و داداشم برگشتن خوزستان
chera hamash az man miporsid doroost ast ke khaneye ma moshref ast vali man ke dam be daghigheh paye balkoon nistam.	چرا همش از من می پرسین؟درسته که خونه ما مشرفه،ولی من که دم به دقیقه پای بالکن نیستم
to khoudet soal rou porsidi.	تو خودت سوال رو پرسيدي
behesh begou man  hasasiat daram.	بهش بگو من حساسيت دارم
fekr kounam hich kas be andazeh man khoush hal bargashtan ali nist.	فکر کنم هیچکی اندازه من خوشحال برگشتن علی نیست
hekayateh in rouz hayeh ma.	حکایت این روزهای ما
vaghti arabi ro toy konkour manfi zadam fahmidam ke arab ha hichi natavanestan behem biamouzand.	وقتی عربی تو کنکور منفی زدم فهمیدم ک اعراب هیچی نتونستن بهم بیاموزند
vaghteshe be gashteh ershad bejay khodrouy van tank bedan.	وقتشه به گشت ارشاد بجای خودروی وَن، تانک بدن
vali bebinim gondeh ast.	ولي ببينم ، گنده هستش؟
hala ke fekrash ra mikonam mibinam ke harfhayetan doroust ast, belakhareh bayad yek farghi beyneh man va in jojeh fokouli bashad, faryadi shabih be ghouresh.	حالا که فکرشو میکنم می بینم حرفاتون درسته. بالاخره باید یه فرقی بین من و این جوجه فکلی باشه. فریادی شبیه به غرش
rafteh tou otagh agha esfandiar.	رفته تو اتاق اقا اسفندیار.
motasefam aghaye mohammadi.	متاسفم آقای محمدی
man oun ro motaghaed kardam.	من اون رو متعاقد کردم
shoma chera neshastin inja hey teroter mikhandin.	شما چرا نشستی اینجا هی تر تر می خندی؟
taghriban sad o panjah gaz dourtar az jadeh.	تقریبا صدو پنجاه گز دورتر از جاده
man midounestam ke belakhareh.	من ميدونستم که بالاخره
har rouz yeki douta medad kesh miraftam ta inke ta payan term az tamami doustanam medad bardashdeh boudam.	هر روز یک دو مداد کش می رفتتم تااین که تا پایان ترم از تمامی دوستانم مداد برداشته بودم
azadeh aslan boro touyeh haman otagh behesh bedeh.	ازاده اصلا برو توی همون اتاق بهش بده.
hameh rahat beshim.	همه راحت بشیم
taasir medad siah dar zendegi doo koudak.	تاثیر مداد سیاه در زندگی دو کودک
faghat az in tarigh be gofteh on ha mitavan bar besiyari az tars haye mortabet ba khabar resani chireh shood.	فقط از این طریق، بگفته آنها، میتوان بر بسیاری از ترسهای مرتبط با خبررسانی چیره شد
haleh hooleh engilisi mouzakhraf.	حله حوله انگليسي مزخرف
tou zendegie ma faghat ab o havas hast ke taghir mikounad.	تو زندگی ما فقط آب و هواس که تغییر میکنه
terump gofteh ben salman bishtar az man az jenayat nefrat darad.	ترامپ گفته بن سلمان بیشتر از من از جنایت نفرت دارد
havayeh khoub, bishtar rouz ha barouni vojoudeh hes aramesh va boudan dar kenar adam hay khob.	هوای خوب،بیشتر روزابارونی، وجود حس ارامش و بودن در کنار آدمای خوب
chahardah emteyaz darim va ba team aval jadval faghat dou emtiaz faseleh darim.	چهارده امتیاز داریم و با تیم سوم جدول فقط دو امتیاز فاصله داریم
akhe barah jalebeh oun chiz hayei ke azashoun mishnavim ba oun chiz hayei ke khodemoun mibinim.	اخه برام جالبه اون چیزای که ازشون می شنویم با اون چیزای که خودمون می بینیم.
mifahmi ke manzouram chieh?	مي فهمي که منظورم چيه؟
ba in agahi ke daram eshtebaham roo tekrar nemikonam.	با این آگاهی که دارم،اشتباهم رو تکرار نمیکنم
tavalod si salegit mobarak.	تولد 30 سالگيت مبارک
migouzarid neshan daham, na.	میگذارید نشان دهم؟» نه
shalvar kourdi pushidan hayeh ghabl va baad az tou soue tafahoumi bish nist.	شلوار کردی پوشیدنای قبل و بعد از تو سوتفاهمی بیش نیست
zanouyash ra navazesh mikounad va ahangi ra zemzemeh mikonad.	زانویش را نوازش می کند و اهنگی را زمزمه می کند.
yek kif ham dast migira.	يه کيف هم دست مي گيره-
oun kheili bad masaj midahad.	اون خيلي بد ماساژ ميده
dar na omidi kamel yek maghaleh khandam dar moured mofit kar sami va riz khoshounat ha.	در ناامیدی کامل، یک مقاله خواندم در مورد فرهنگ محیط کار سمی و ریزخشونتها
midounam yek rouz doubareh mitavanam tou ra bebinam.	میدونم یه روز دوباره می تونم تو رو ببینم
mishe koumakash konim bere khane ash.	میشه کمکش کنیم بره خونه اش؟
va ya be jaye on kounjkavi ra jaygouzin davari koman.	و یا بجای آن، کنجکاوی را جایگزین داوری کنم
ensan bana be tahghighat khod ra dast bala migirad dar tavanaei be khater avardan daghayegh mohem ehsasi pas az gouzashte modat zamani.	انسان، بنابه تحقیقات، خود را دست بالا میگیرد در توانایی به خاطر آوردن دقایق مهم احساسی پس از گذشت مدت زمانی
komakam kon be oun chizi ke ghesmatam hast ghane basham va betunam be zendegim edameh bedam.	کمکم کن که به اون چیزی که قسمتمه قانع باشم و بتونم به زندگیم ادامه بدم
faghat mikhaham befahmam ke chera.	فقط ميخام بفهمم که چرا
az code takhfif estefadeh kon.	از کد تخفیف استفاده کن
man nemitavanam ba on ha jang kounam, pas beh tar ast ke khod ra zesht va bad shekl konam ta dast az sar man bardarand o dar kou ho dash azad basham.	من نمیتوانم با آنها جنگ کنم پس بهتر است که خود را زشت و بد شکل کنم تا دست از من بر دارند و در کوه و دشت آزاد باشم
tamas shoma baray ma mohemeh.	.تماس شما براي ما مهمه
bastebandi konid ta beram.	بسته بندي کنيد تا برم
man joee hastam bazigaram.	!من جويي هستم! بازيگرم
hengami ke soraghe bar sabzigatash raft ta unha ra be doosh begirad va be rahash edameh dahad.	هنگامی که سراغ بار سبزیجاتش رفت تا انها را به دوش بگیرد و به راهش دامه دهد.
kar khoobi mikony afarin.	کار خوبی می کنی ، افرین.
ke natavanand kar peyda konand.	که نتوانند کار پیدا کنند
mazdak mirzaye gozareshgare baziy perspolise kashima shod.	مزدک میرزایی گزارشگر بازی حساس پرسپولیس-کاشیما شد
bayad begam in rahat nist.	بايد بگم اين راحت نيست
biya inga biya inga.	.بيا اينجا ، بيا اينجا
vaghti casi ba shoma sohbat mikonad payam bedahid.	وقتی کسی با شما صحبت میکند پیام بدهید
man orzehy in kar ro nadaram.	من عرضه اين کارو ندارم
amma ma kheyli badjense boodim.	اما ما خیلی بدجنس بودیم
bale ettefaghan ye fekr khoob baray aramshodan ovza daram.	بله اتفاقاً یه فکر خوب برای آرام شدن اوضاع دارم.
tasviry az tanha goli ke perspolise dar final asia zad.	تصویری از تنها گلی که پرسپولیس در فینال آسیا زد
ta hala pesari behem ebraze alagheh nakardeh bood va behem pishnahade ashnaee nadadeh bood nemidoonestam chi kar konam.	تاحالا پسری بهم ابراز علاقه نکرده بود وبهم پیشنهاد اشنایی نداده بود نمیدونستم چیکار کنم
mardi dar namayeshgahi goldan miforookht.	مردی در نمایشگاهی گلدان می فروخت
tou donbal khanevadat oomadi.	تو دنبال خانوادت اومدي
na mikhaham rikhtet ro bebinam.	نه می خوام ریختت رو ببینم
divist melyoon nojavan dar donya kharej az mazra e hastand raghami nazdik be jameeyat berezil.	۲۰۰ میلیون نوجوان در دنیا خارج از مدرسه هستند، رقمی نزدیک به جمعیت برزیل
ketab manand simorgh va si morgh ast.	این کتاب مانند سیمرغ و سی مرغ است
vaght an rasideh ast ke sedaye anhaie bashim ke dir zamanist az dashtane seda mahroom mandehand.	وقت آن رسیده تا صدای آنهایی باشیم که دیرزمانی است از داشتن صدا محروم ماندهاند
man hamchenin be onvan yek rishsefid modern daryaftam ke naghsham in bood ke dar manzar aam karamoozi konam va dar khafa morabbigari.	من همچنین به عنوان یک ریشسفید مدرن دریافتم که نقشم این بود که در منظر عام کارآموزی کنم و در خفا مربیگری
ye madarshoar daram baram loobiya khoord karde o ba gojehfarangi rande shodeh pokhte va dadeh behem ta moghe e dorostkardanesh rahat basham.	یه مادرشوهردارم: برام لوبیا خرد کرده و با گوجه فرنگی رنده شده پخته و داده بهم تا موقع درست کردنش راحت باشم
maryam dast o panjey tou ro bayad tala gereft.	مریم،دست و پنجه تو باید طلا گرفت
hala doo dalil vojood dare.	حالا دو دليل وجود داره
ama be hich vajh na motavajeh mishod va na dastbardar bood.	اما به هیچ وجه نه متوجه میشد و نه دست بردار بود
bebin emshab chekare ei.	ببين امشب چه کاره اي؟
yalla rou ghalbet neshoon salib bekesh.	یالا رو قلبت نشون صلیب بکش
chi tou khalkoubi karde ie?	چي، تو خالکوبي کردي؟
ghadimha delam mikhast mard boodam o ezdevaj mikardam o saheb yek dokhtar mishodam o baadesh hamsar azizam mimord o man tak o tanha dokhtaram ro bozorg mikardam. yadash be kheir che royahaie dashtam.	قدیما دلم میخاست مرد بودم و ازدواج میکردم و صاحب یه دختر میشدم و بعدش همسرعزیزم میمرد وومن تک وتنها دخترمو بزرگ میکردم،یادش بخیر،چه رویاهایی داشتم
yek an bidar misham o viraneha ro ba cheshmat rahash mikonam. ye rooz hame chiz addi mishe ya hameh chiz be nafam tamom mishe.	خون دوید تو سرم از عصبانیت رو پا بند نبودم
khoon david too saram az asabaniat rou pa band naboodam.	ببين تو اشتباه نميکني
bebin tou eshtebah nemikoni.	خب ميدوني چيه در حقيقت
khob midoonid ke dar hagh	در گروه کتابخوانی ما دختران نوجوان درباره کتابها تحلیلهای عجیبی دارند، تحلیلهایی که بزرگسالان ندارند
dar gorooh ketabkhooni ma dokhtaran noujavan darbareye ketabha tahlilhay ajibi darand. tahlilhaie ke baraye bozorgsalan nadarand.	گستره دغدغههایمان زیاد شده است
gostareye daghdaghehayeman ziad shodeh ast.	و کنار آبشار زندگی کنه
dar kenare abshar zendegi kone.	قلمه چیه. خواستگاری کدومه. حالت خوش نیست ها.
ghalameh chiiyeh? khastegari kodoomeh? halet khosh nist ha.	می خوام بذارم یه چیزی ببینی
sedam ro nemitooni beshnavi.	صدام رو نمي توني بشنوي
daghighan mesle zanam marin.	دقيقا مثل زن عمو مارين
mikhaham maharathaie mesle sakht o saz va bargh ro biamoozam.	میخواهند مهارتهایی مثل ساخت و ساز و برق را بیاموزند
hasan delesh baram tang mishe.	حسن، دلش برام تنگ میشه
va ziad darbarey mosharekat modiriat dar masael atefi sohbat mikonam.	و زیاد درباره مشارکت مدیریت در مسائل عاطفی صحبت میکنند
chi baes shod in hame sul.	چي باعث شد اين همه سال
man dige motmaen nistam ke.	من ديگه مطمئن نيستم که
moshaveram.	مشاورم
ye baste vaghti baste bashe.	يه بسته وقتي بسته باشه
ma kheyli bozorg boodim.	ما خيلي بزرگ بوديم
banabarin dar sanat fanavar be rahehalhay sari niaz darim.	بنابراین در صنعت فناور به راهحلهای سریع نیاز داریم
tou mavad ro amade kon.	تو مواد رو اماده کن
akharin roozhay esfand hal khoobi ro daram.	اخرین روزای اسفند حال خوبی رو دارم
oon mivehat ro bardar.	اون ميوه هات رو بردار
dashtam tagheeri bozorg ro dar donya shekl midadam.	داشتم تغییری بزرگ را در دنیا شکل میدادم
az damaghet dare khoon miad.	از دماغت داره خون مياد
mikhasti tou kar mod beri.	.ميخاستي تو کار مد بري
vahshatzade atraf ro negah mikonad. ki oonjast? goftam ki oonjast? ki hasti?	وحشت زده اطراف را نگاه می کند کی اونجاست؟ گفتم کی اونجاست؟ کی هستی؟
anjam dadan karhaie ke faratar az vazifat bood.	انجام دادن کارایی که فراتر از وظیفه ت بود
khoobe ke jameeye pezeshki.	.خوبه که جامعه پزشکي
tou bayad biyay ta betoonim.	تو بايد بياي تا بتونيم
pesarak ba shojaat khod ra baraye marg amade kardeh bood. choon fekr mikard ke gharar ast  ke tamam khoonash ra be khaharash bedahad.	پسرک با شجاعت خود را اماده مرگ کرده بود،چون فکر می کرد که قرار است تمام خونش را به خواهرش بدهد!
baraye khandan shoroot bar rooye yek gooshiy motavasset.	برای خواندن شروط برروی یک گوشی متوسط
ye chek panjah hezar dolary baraye.	يه چک 50000 دلاري براي
verd zaboon hameh hast ba oon tasbih o sajadeie ke pahn mikonand.	ورد زبون همست. با اون تسبیح و سجاده ای که پهن می کنه
ba faryud chand bar begam? chera be kharj kasi nemireh?doost darin hamishe dast zoor rou saretoon bashe? 	بافریاد چندبار بگم؟ چرا به خرج کسی نمیره؟ دوست دارین همیشه دست زور رو سرتون باشه؟
be toor kholase berandcheski modiramel mara be dalil daneshem dar in sanat davat be kar kard vali chizi ke eraeh dadam kheradi bood ke be khoobi kasb karde boodam.	بطور خلاصه، برایان چسکی مدیرعامل مرا به دلیل دانشم در این صنعت دعوت به کار کرد، ولی چیزی که واقعاً ارائه دادم خردی بود که به خوبی کسب کرده بودم
ba cheshmaye koochik o baragh.	با چشمای کوچیک و براق
bababozorgam moshkel ghalbi dasht. doktoresh goft saay konid narahatesh nakonid.	بابابزرگم مشکل قلبی داشت،دکترش گفت سعی کنید ناراحتش نکنید
hich kari bokonid.	هيچ کاري نمي توني بکني
oon tamam sharayet ro dare.	اون تمام شرايط رو داره
oh man ham az ou mikham.	اوه منم از اون ميخوام
oono bedesh man bezar bahash sohbat konam.	اونو بدش من، بذار باهاش صحبت کنم
ye shoar darim behesh migim yeki az akhlaghay khoob man ro begoo migeh age begam porroo mishi.	یه شوهر داریم بهش میگم یکی از اخلاقای خوب من رو بگو،میگه اگه بگم پررو میشی
migooyam ghasd nadaram behesh zehniat bedam.	میگویم قصد ندارم بهش ذهنیت بدهم
man ba oon biroon nemiram.	من با اون بيرون نمي رم
va in mesal digari baray rahbaran ast.	و این مثال دیگری برای رهبران است
eynak inha ro bash.	عینک اینا رو باش
man dashtam tashbih mekardam.	من داشتم تشبيه مي کردم
momkene hichchi nayad.	ممکنه هيچي گيرمون نياد
migam javad gamoonam chizish shodeh.	میگم جواد،گمونم چیزیش شده
tou ke nishet bazeh che toor?	تو که نيشت بازه چطور ؟
in behtare ta inke be bahooneye dars o mashgh har rooz bere khoonashoon.	این بهتره تا اینکه به بهونه درس و مشق هر روز بره خونه شون.
oon malek hame chieye.	.اون مالك همه چيه.
har yek chandin zaban khareji balad boodand.	هر یک چندین زبان خارجی بلد بودند
kar ro bedoon tou anjam bedam?	کارو بدون تو انجام بدم
posht sahney barnamehay tond televisiony.	پشتصحنهی برنامههای لایو تلویزیونی
esme hamotaghitoon chieye?	.اسم هم اتاقيتون چيه
man dar mored sagha bayad begam sharmandeam.	در مورد سگا باید بگم شرمنده ام
ba tamaskhor labod mikhay ba jaroo o khakandaz partam koni biroon? are? vay tarsidam.	با تمسخر لابد میخوای با جارو خاک انداز پرتم کنی بیرون؟ آره؟ وای ترسیدم.
khob hala be eftekhar tamam kashefhay koochooloo.	خوب،حالا به افتخار تمام کاشفای کوچولو
man in ro az yeki az ketab haye tou ye ketab khaneh kandam.	مسلما اونکارو مي کنيم
mosallaman oon kar ro mikonim.	من اینو از تو یکی از کتابای کتابخونه کندم
harfe digeie nadari bezani?	حرف دیگه ندارین بزنین؟
aslan hame tashrif biarin khouneye ma.	اصلن همه تشریف بیارین خونه ما.
va yadashti az janeb shah ke in sekeh ha mal kasi ast ke sang ra kenar bezanad.	و یادداشتی از جانب شاه که این سکه ها مال کسی است که سنگ را از جاده کنار بزند
hey telephonat ra be man bedeh.	«هی، تلفنت را به من بده
vay oonja ro negah kon.	واي، اونجا رو نگاه کن
touye kelassemoun fazaye kheili khoubi boud taghriban hame baham rahat boudim.	تو کلاسمون فضای خیلی خوبی بود تقریبا همه با هم راحت بودیم
ouna behem tohmat drough gouei zadand.	اونا بهم تهمت دروغگویی زدن
nabayad in kar rou mikardi.	نبايد اين کارو مي کردي
asiaban goft tou ke chenin mostajabodave hasti doa kon gandomat ard shavad.	اسیابان گفت: تو که چنین مستجاب الدعوه هستی دعا کن گندمت ارد بشود
ke dar saye ye abshar, ba shokouh behesht penhan shode.	که در سایه ی ابشار با شکوه بهشت پنهان شده
vase pardakht poul bashgah.	واسه پرداخت پول باشگاه
moshabeh shoma man niz chenin barnameh bar rouye goushi khod daram, va dar sourat estefadeh ye dorost mitavan az zendegi asan tar, rahat tar va hata momken ast salem tar shavad.	مشابه شما، من نیز چندین برنامه بر روی گوشی خود دارم، و در صورت استفاده درست، میتواند زندگی آسانتر، راحتتر و حتی ممکن است سالمتر شود
in alan aslan mohem nist.	اين الان اصلا مهم نيست
nemitounest saresh rou bendazad payien biad inja.	نمی تونه سرشو بندازه پایین بیاد اینجا
oh khodaye man chi shode?	اوه ، خداي من. چي شده؟
be sandough postam dast nazan.	به صندوق پستم دست نزن
oun ja ha kasi ro nemibini tou dastesh ketab nabashe.	اون جاها، کسی رو نمیبینی که تو دستش کتاب نباشه
in sag alan goft salam.	این سگه الان گفت:سلام
va nagahan nabegh bist o panj saleei ke jalaseh ra modiriat mikard.	و ناگهان، نابغهٔ ۲۵ سالهای که جلسه را مدیریت میکرد
tashakol ha oun ro az dast dadand.	تشکهام رو از دست دادم-
ama in ham mesl baghei medad haei ast ke dide am.	اما این هم مثل بقیه مدادهایی است که دیده ام
man bayad az inja beram.	!من بايد از اينجا برم
choun ashegh oun adami boudi ke gharar naboud bere.	چون عاشق اون آدمی بودی که به نظرت قرار نبوده بره
man barat yad dasht gozashtam.	من برات يادداشت گذاشتم
motmaeni ke doctor nemikhay.	مطمئني که دکتر نميخاي؟
lux foroushi ghadam mizadim.	لوکس فروشي قدم مي زديم
yek tikeh choub tabdil kardi.	يک تيکه چوب تبديل کردي
ounam che ghahramani mardtikeh ghasd jounemoun ro dare.	اونم چه قهرمانی مرتیکه قصد جونمون داره
age dou daghigheh ham bikar bashan, ketabeshoun rou va mikonan va shorou be khoundan mikonan.	اگه دو دقیقه هم بیکار باشن کتابشونو وا میکنن و شروع به خوندن میکنن
dar edame baresi mokonim ke dar poshte pardeh ye in etefagh che boude ast.	در ادامه بررسی میکنیم که در پشت پرده این اتفاق چه بوده است
mirim yeja estekhdam mishim ke komak konim yek nafar digar roya hayash ra donbal konad.	میریم یه جا استخدام میشیم که کمک کنیم یه نفر دیگه رویاهاشو دنبال کنه
rouhe digari ke douk be kar kounan ehsas arzesh dad va be on ha neshan dad ke be un ha tavajoh mikonad in boud ke ou ba dast bish az si hezar yadasht tashakour baraye karkounan neveshteh boud.	راه دیگری که دوگ به کارکنان احساس ارزش داد و به آنها نشان داد که توجه میکند این بود که او با دست بیش از سی هزار یادداشت تشکر برای کارکنان نوشته بود
cheghadr ham jer zani mikard.	چقدم جـر زنی می کرد
hamid be man goft ke.	. حمید به من گفت که
chera nemitouni beri pishesh.	چرا نميتوني بري پيشش؟
shab bidari o bikhabi aziatet nakouneh.	شب بیداری و بی خوابی اذیتت نکنه
nazi doust dareh shaba bekhabeh.	نازی دوست داره شبا بخوابه
ba sarfeh vaghteh bish tar dar onja daryaftam ke momken ast noe jadidi az rish sefid ha dar hul padidar shodan dar mohit kar bashand.	با صرف وقت بیشتر در آنجا، دریافتم که ممکن است نوع جدیدی از «ریشسفیدها» در حال پدیدار شدن در محیط کار باشند
mikhahad faza ra avaz konad.	می خواهد فضا را عوض کند
hey kari be aghaeideh mazhabi man nadashte bash, bashe?	هي کاري به عقايد مذهبي من نداشته باش ، باشه ؟
tou kheili be man hol dadi.	تو خيلي به من حال دادي
delam mikhad zaman be aghab bargardeh.	دلم میخواد،زمان به عقب برگرده
zahere mahsoul ma chetourie?	ظاهر محصول ما چطوريه؟
man hamisheh touye filma mididam ke adam ha migouftan chizi baraye az dast dadan nadaran.	من همیشه تو فیلما میدیدم که آدما میگفتن چیزی برای از دست دادن ندارم
faghat mikham begam behesh, bashe?	فقط ميخام بگمش ، باشه؟
fekr mikounam intour bashe.	فکر مي کنم اينطور باشه
be nazaram in mojasame rou az rouye maragheb haye younan bastan sakhtan.	به نظرم این مجسمه رُ از روی مراقبایِ امتحان در ایران باستان ساختن
tou khiaboun dari rah miri har dou nafari ke az kenaret rad mishan daran darmored dolar harf mizanan.	تو خیابون داری راه میری هر دو نفری که از کنارت رد میشن دارن در مورد دلار حرف میزنن
ozr mikham bayad beram.	عذر ميخواهم،بايد برم
hameh az tars touye shekam ham milouland va be sorat jarou o khakendaz barayash miavarand.	همه از ترس توی شکم هم می لولند و به سرعت جاروخاک انداز برایش می آورند
khanouma miomadan touye maghazeh, migoftan agha in lebas palangi ranghaye digeie ham dare?	خانوما میومدن تو مغازه میگفتن آقا این لباس پلنگی رنگای دیگه هم داره؟
khoush halam az in ke hava zoud tar tarik mishe.	خوشحالم از این که هوا زودتر تاریک میشه
age tou ghoutbe jounoub bemirir shab aval ghabret miofteh hadaghal shesh mah baad.	اگه تو قطب جنوب بمیری، شب اول قبرت میفته حداقل شش ماه بعد
mousri ast va ba boudan atrafe un ma niz mobtala mishavim.	مسری است، و با بودن اطراف آن ما نیز مبتلا میشویم
emsal dar lig torkeyeh bazi mikounad.	امسال در لیگ ترکیه بازی می کند
ba ghodrat va maharatam be dastash avardam.	با قدرت و مهارتم به دستش اوردم
az bank vam begiran poul ro be khodrosaz naghdi bedan va aghsat ro be bank pardakht kounan.	از بانك وام بگيرن پول رو به خودروساز نقدى بدن و اقساط رو به بانك پرداخت كنن
khoub zuck udameh khobieh na?	خوب زاک آدم خوبيه نه؟
na rouznameh ha gouftan na radio.	نه روزنامه ها گفتن نه رادیو.
man motaasefamaf dar morede.	من متاسفم در مورد
ye dokhtar joloush ro gereft.	!يه دختر جلوش رو گرفت
tamos telephonie rashid pour ba zani ke kode melish ro be froush gozashte, sham nadaram be bache am bedam.	تماس تلفنی رشیدپور با زنی که کد ملی اش را به فروش گذاشته،شام ندارم به بچه م بدم!
tou final bakhtim migeh ghahve ie shoudin.	تو فینال باختیم میگه قهوه ای شدین
anjoiman meli jahan gardan hagh ozviat ali ro batel mikoune.	انجمن ملی جهانگردان حق عضویت علی را باطل می کند
vazir ke dar unja boud goft negaran nabashid, tamam chiz hayie ke rokh midahad dar jahat kheir va salah shomast.	وزیر که در آنجا بود گفت : نگران نباشید تمام چیزهایی که رخ میدهد در جهت خیر و صلاح شماست !
shayad kesel konandeh fi nazar biad.	شاید کسل کننده به نظر بیاد
bebin khodet ke midouni.	ببين ، خودت که ميدوني
oun doukhtareh khoushgel mizadam.	اون دختره خوشکله ميزدم
bro vase gharar daavatash kon.	برو واسه قرار دعوتش کن
tejarat khobist.	تجارت خوبی است
milion ha nafar az mardom hamin alan ehsas moshabeh man ra darand.	میلیونها نفر از مردم همین الان احساس مشابه من را دارند
yeki dare migeh raft bala, yeki migeh mikeshe paein, yeki migeh ina bazi shouneh.	یکی داره میگه رفت بالا، یکی میگه میکشه پایین، یکی میگه اینا بازیشونه
man asef ra peyda kardam.	من عاصف رو پیدا کردم
va dar toul noh sal un ha be recorde behtarin amal kard dar tamam doran residand.	و در طول نه سال آنها به رکورد بهترین عملکرد در تمام دوران رسیدند
zendeh tou atash besouzid.	زنده تو آتيش بسوزيد ؟
gofteh donbal baz neshastegimam.	گفته دنباله بازنشستگیمم!
in vaghean haghighat dareh.	اين واقعاً حقيقت داره
khoub khoulase begam.	خوب خلاصه بگم
