FileName	Finglish	Persian
common_voice_fa_18202467.mp3	vali sabr konid inja yek noghteh roushan ast.	ولی صبر کنید -- اینجا یک نقطهٔ روشن است
common_voice_fa_18202469.mp3	in tedad zanani ast ke ghabl az hejdah salegi ezdevaj kardeand.	این تعداد زنانی است که قبل از ۱۸ سالگی ازدواج کردهاند
common_voice_fa_18202470.mp3	chetouri akhe beranko ba dast khali timash ra board final.	چه جوري آخه برانكو با دست خالي تيمشو بٌرد فينال ؟
common_voice_fa_18202471.mp3	delam nemikhahad beram doktor mitarsam chizi bashad va baz ham dardesar ha shorou besheh.	دلمم نمیخاد برم دکتر،میترسم چیزی باشه وبازم دردسرا شروع بشه
common_voice_fa_18202472.mp3	mikhan ghahve khaneh bokounandash.	ميخان قهوه خونه بکننش
common_voice_fa_18202473.mp3	babam va dadash ham bargashtan khozestan.	بابام و داداشم برگشتن خوزستان
common_voice_fa_18202474.mp3	chera hamash az man miporsid doroost ast ke khaneye ma moshref ast vali man ke dam be daghigheh paye balkoon nistam.	چرا همش از من می پرسین؟درسته که خونه ما مشرفه،ولی من که دم به دقیقه پای بالکن نیستم
common_voice_fa_18202475.mp3	to khoudet soal rou porsidi.	تو خودت سوال رو پرسيدي
common_voice_fa_18202476.mp3	behesh begou man  hasasiat daram.	بهش بگو من حساسيت دارم
common_voice_fa_18202477.mp3	fekr kounam hich kas be andazeh man khoush hal bargashtan ali nist.	فکر کنم هیچکی اندازه من خوشحال برگشتن علی نیست
common_voice_fa_18202478.mp3	hekayateh in rouz hayeh ma.	حکایت این روزهای ما
common_voice_fa_18202479.mp3	vaghti arabi ro toy konkour manfi zadam fahmidam ke arab ha hichi natavanestan behem biamouzand.	وقتی عربی تو کنکور منفی زدم فهمیدم ک اعراب هیچی نتونستن بهم بیاموزند
common_voice_fa_18202480.mp3	vaghteshe be gashteh ershad bejay khodrouy van tank bedan.	وقتشه به گشت ارشاد بجای خودروی وَن، تانک بدن
common_voice_fa_18202481.mp3	vali bebinim gondeh ast.	ولي ببينم ، گنده هستش؟
common_voice_fa_18202483.mp3	hala ke fekrash ra mikonam mibinam ke harfhayetan doroust ast, belakhareh bayad yek farghi beyneh man va in jojeh fokouli bashad, faryadi shabih be ghouresh.	حالا که فکرشو میکنم می بینم حرفاتون درسته. بالاخره باید یه فرقی بین من و این جوجه فکلی باشه. فریادی شبیه به غرش
common_voice_fa_18202484.mp3	rafteh tou otagh agha esfandiar.	رفته تو اتاق اقا اسفندیار.
common_voice_fa_18202485.mp3	motasefam aghaye mohammadi.	متاسفم آقای محمدی
common_voice_fa_18202486.mp3	man oun ro motaghaed kardam.	من اون رو متعاقد کردم
common_voice_fa_18202492.mp3	shoma chera neshastin inja hey teroter mikhandin.	شما چرا نشستی اینجا هی تر تر می خندی؟
common_voice_fa_18202494.mp3	taghriban sad o panjah gaz dourtar az jadeh.	تقریبا صدو پنجاه گز دورتر از جاده
common_voice_fa_18202496.mp3	man midounestam ke belakhareh.	من ميدونستم که بالاخره
common_voice_fa_18202497.mp3	har rouz yeki douta medad kesh miraftam ta inke ta payan term az tamami doustanam medad bardashdeh boudam.	هر روز یک دو مداد کش می رفتتم تااین که تا پایان ترم از تمامی دوستانم مداد برداشته بودم
common_voice_fa_18202498.mp3	azadeh aslan boro touyeh haman otagh behesh bedeh.	ازاده اصلا برو توی همون اتاق بهش بده.
common_voice_fa_18202782.mp3	hameh rahat beshim.	همه راحت بشیم
common_voice_fa_18202783.mp3	taasir medad siah dar zendegi doo koudak.	تاثیر مداد سیاه در زندگی دو کودک
common_voice_fa_18204533.mp3	faghat az in tarigh be gofteh on ha mitavan bar besiyari az tars haye mortabet ba khabar resani chireh shood.	فقط از این طریق، بگفته آنها، میتوان بر بسیاری از ترسهای مرتبط با خبررسانی چیره شد
common_voice_fa_18204535.mp3	haleh hooleh engilisi mouzakhraf.	حله حوله انگليسي مزخرف
common_voice_fa_18204536.mp3	tou zendegie ma faghat ab o havas hast ke taghir mikounad.	تو زندگی ما فقط آب و هواس که تغییر میکنه
common_voice_fa_18204537.mp3	terump gofteh ben salman bishtar az man az jenayat nefrat darad.	ترامپ گفته بن سلمان بیشتر از من از جنایت نفرت دارد
common_voice_fa_18204538.mp3	havayeh khoub, bishtar rouz ha barouni vojoudeh hes aramesh va boudan dar kenar adam hay khob.	هوای خوب،بیشتر روزابارونی، وجود حس ارامش و بودن در کنار آدمای خوب
common_voice_fa_18204554.mp3	chahardah emteyaz darim va ba team aval jadval faghat dou emtiaz faseleh darim.	چهارده امتیاز داریم و با تیم سوم جدول فقط دو امتیاز فاصله داریم
common_voice_fa_18204555.mp3	akhe barah jalebeh oun chiz hayei ke azashoun mishnavim ba oun chiz hayei ke khodemoun mibinim.	اخه برام جالبه اون چیزای که ازشون می شنویم با اون چیزای که خودمون می بینیم.
common_voice_fa_18204556.mp3	mifahmi ke manzouram chieh?	مي فهمي که منظورم چيه؟
common_voice_fa_18204557.mp3	ba in agahi ke daram eshtebaham roo tekrar nemikonam.	با این آگاهی که دارم،اشتباهم رو تکرار نمیکنم
common_voice_fa_18204558.mp3	tavalod si salegit mobarak.	تولد 30 سالگيت مبارک
common_voice_fa_18204564.mp3	migouzarid neshan daham, na.	میگذارید نشان دهم؟» نه
common_voice_fa_18204565.mp3	shalvar kourdi pushidan hayeh ghabl va baad az tou soue tafahoumi bish nist.	شلوار کردی پوشیدنای قبل و بعد از تو سوتفاهمی بیش نیست
common_voice_fa_18204566.mp3	zanouyash ra navazesh mikounad va ahangi ra zemzemeh mikonad.	زانویش را نوازش می کند و اهنگی را زمزمه می کند.
common_voice_fa_18204567.mp3	yek kif ham dast migira.	يه کيف هم دست مي گيره-
common_voice_fa_18204568.mp3	oun kheili bad masaj midahad.	اون خيلي بد ماساژ ميده
common_voice_fa_18204594.mp3	dar na omidi kamel yek maghaleh khandam dar moured mofit kar sami va riz khoshounat ha.	در ناامیدی کامل، یک مقاله خواندم در مورد فرهنگ محیط کار سمی و ریزخشونتها
common_voice_fa_18204595.mp3	midounam yek rouz doubareh mitavanam tou ra bebinam.	میدونم یه روز دوباره می تونم تو رو ببینم
common_voice_fa_18204596.mp3	mishe koumakash konim bere khane ash.	میشه کمکش کنیم بره خونه اش؟
common_voice_fa_18204597.mp3	va ya be jaye on kounjkavi ra jaygouzin davari koman.	و یا بجای آن، کنجکاوی را جایگزین داوری کنم
common_voice_fa_18204598.mp3	ensan bana be tahghighat khod ra dast bala migirad dar tavanaei be khater avardan daghayegh mohem ehsasi pas az gouzashte modat zamani.	انسان، بنابه تحقیقات، خود را دست بالا میگیرد در توانایی به خاطر آوردن دقایق مهم احساسی پس از گذشت مدت زمانی
common_voice_fa_18205206.mp3	komakam kon be oun chizi ke ghesmatam hast ghane basham va betunam be zendegim edameh bedam.	کمکم کن که به اون چیزی که قسمتمه قانع باشم و بتونم به زندگیم ادامه بدم
common_voice_fa_18205207.mp3	faghat mikhaham befahmam ke chera.	فقط ميخام بفهمم که چرا
common_voice_fa_18205208.mp3	az code takhfif estefadeh kon.	از کد تخفیف استفاده کن
common_voice_fa_18205209.mp3	man nemitavanam ba on ha jang kounam, pas beh tar ast ke khod ra zesht va bad shekl konam ta dast az sar man bardarand o dar kou ho dash azad basham.	من نمیتوانم با آنها جنگ کنم پس بهتر است که خود را زشت و بد شکل کنم تا دست از من بر دارند و در کوه و دشت آزاد باشم
common_voice_fa_18205210.mp3	tamas shoma baray ma mohemeh.	.تماس شما براي ما مهمه
common_voice_fa_18205271.mp3	bastebandi konid ta beram.	بسته بندي کنيد تا برم
common_voice_fa_18205272.mp3	man joee hastam bazigaram.	!من جويي هستم! بازيگرم
common_voice_fa_18205273.mp3	hengami ke soraghe bar sabzigatash raft ta unha ra be doosh begirad va be rahash edameh dahad.	هنگامی که سراغ بار سبزیجاتش رفت تا انها را به دوش بگیرد و به راهش دامه دهد.
common_voice_fa_18205274.mp3	kar khoobi mikony afarin.	کار خوبی می کنی ، افرین.
common_voice_fa_18205275.mp3	ke natavanand kar peyda konand.	که نتوانند کار پیدا کنند
common_voice_fa_18205290.mp3	mazdak mirzaye gozareshgare baziy perspolise kashima shod.	مزدک میرزایی گزارشگر بازی حساس پرسپولیس-کاشیما شد
common_voice_fa_18205291.mp3	bayad begam in rahat nist.	بايد بگم اين راحت نيست
common_voice_fa_18205292.mp3	biya inga biya inga.	.بيا اينجا ، بيا اينجا
common_voice_fa_18205294.mp3	vaghti casi ba shoma sohbat mikonad payam bedahid.	وقتی کسی با شما صحبت میکند پیام بدهید
common_voice_fa_18205303.mp3	man orzehy in kar ro nadaram.	من عرضه اين کارو ندارم
common_voice_fa_18205308.mp3	amma ma kheyli badjense boodim.	اما ما خیلی بدجنس بودیم
common_voice_fa_18205310.mp3	bale ettefaghan ye fekr khoob baray aramshodan ovza daram.	بله اتفاقاً یه فکر خوب برای آرام شدن اوضاع دارم.
common_voice_fa_18205312.mp3	tasviry az tanha goli ke perspolise dar final asia zad.	تصویری از تنها گلی که پرسپولیس در فینال آسیا زد
common_voice_fa_18205313.mp3	ta hala pesari behem ebraze alagheh nakardeh bood va behem pishnahade ashnaee nadadeh bood nemidoonestam chi kar konam.	تاحالا پسری بهم ابراز علاقه نکرده بود وبهم پیشنهاد اشنایی نداده بود نمیدونستم چیکار کنم
common_voice_fa_18205320.mp3	mardi dar namayeshgahi goldan miforookht.	مردی در نمایشگاهی گلدان می فروخت
common_voice_fa_18205322.mp3	tou donbal khanevadat oomadi.	تو دنبال خانوادت اومدي
common_voice_fa_18205323.mp3	na mikhaham rikhtet ro bebinam.	نه می خوام ریختت رو ببینم
common_voice_fa_18205328.mp3	divist melyoon nojavan dar donya kharej az mazra e hastand raghami nazdik be jameeyat berezil.	۲۰۰ میلیون نوجوان در دنیا خارج از مدرسه هستند، رقمی نزدیک به جمعیت برزیل
common_voice_fa_18205330.mp3	ketab manand simorgh va si morgh ast.	این کتاب مانند سیمرغ و سی مرغ است
common_voice_fa_18205332.mp3	vaght an rasideh ast ke sedaye anhaie bashim ke dir zamanist az dashtane seda mahroom mandehand.	وقت آن رسیده تا صدای آنهایی باشیم که دیرزمانی است از داشتن صدا محروم ماندهاند
common_voice_fa_18205334.mp3	man hamchenin be onvan yek rishsefid modern daryaftam ke naghsham in bood ke dar manzar aam karamoozi konam va dar khafa morabbigari.	من همچنین به عنوان یک ریشسفید مدرن دریافتم که نقشم این بود که در منظر عام کارآموزی کنم و در خفا مربیگری
common_voice_fa_18205335.mp3	ye madarshoar daram baram loobiya khoord karde o ba gojehfarangi rande shodeh pokhte va dadeh behem ta moghe e dorostkardanesh rahat basham.	یه مادرشوهردارم: برام لوبیا خرد کرده و با گوجه فرنگی رنده شده پخته و داده بهم تا موقع درست کردنش راحت باشم
common_voice_fa_18205336.mp3	maryam dast o panjey tou ro bayad tala gereft.	مریم،دست و پنجه تو باید طلا گرفت
common_voice_fa_18205338.mp3	hala doo dalil vojood dare.	حالا دو دليل وجود داره
common_voice_fa_18205340.mp3	ama be hich vajh na motavajeh mishod va na dastbardar bood.	اما به هیچ وجه نه متوجه میشد و نه دست بردار بود
common_voice_fa_18205373.mp3	bebin emshab chekare ei.	ببين امشب چه کاره اي؟
common_voice_fa_18205374.mp3	yalla rou ghalbet neshoon salib bekesh.	یالا رو قلبت نشون صلیب بکش
common_voice_fa_18205378.mp3	chi tou khalkoubi karde ie?	چي، تو خالکوبي کردي؟
common_voice_fa_18205380.mp3	ghadimha delam mikhast mard boodam o ezdevaj mikardam o saheb yek dokhtar mishodam o baadesh hamsar azizam mimord o man tak o tanha dokhtaram ro bozorg mikardam. yadash be kheir che royahaie dashtam.	قدیما دلم میخاست مرد بودم و ازدواج میکردم و صاحب یه دختر میشدم و بعدش همسرعزیزم میمرد وومن تک وتنها دخترمو بزرگ میکردم،یادش بخیر،چه رویاهایی داشتم
common_voice_fa_18205388.mp3	yek an bidar misham o viraneha ro ba cheshmat rahash mikonam. ye rooz hame chiz addi mishe ya hameh chiz be nafam tamom mishe.	خون دوید تو سرم از عصبانیت رو پا بند نبودم
common_voice_fa_18205391.mp3	khoon david too saram az asabaniat rou pa band naboodam.	ببين تو اشتباه نميکني
common_voice_fa_18205393.mp3	bebin tou eshtebah nemikoni.	خب ميدوني چيه در حقيقت
common_voice_fa_18205483.mp3	khob midoonid ke dar hagh	در گروه کتابخوانی ما دختران نوجوان درباره کتابها تحلیلهای عجیبی دارند، تحلیلهایی که بزرگسالان ندارند
common_voice_fa_18205638.mp3	dar gorooh ketabkhooni ma dokhtaran noujavan darbareye ketabha tahlilhay ajibi darand. tahlilhaie ke baraye bozorgsalan nadarand.	گستره دغدغههایمان زیاد شده است
common_voice_fa_18205639.mp3	gostareye daghdaghehayeman ziad shodeh ast.	و کنار آبشار زندگی کنه
common_voice_fa_18205640.mp3	dar kenare abshar zendegi kone.	قلمه چیه. خواستگاری کدومه. حالت خوش نیست ها.
common_voice_fa_18205641.mp3	ghalameh chiiyeh? khastegari kodoomeh? halet khosh nist ha.	می خوام بذارم یه چیزی ببینی
common_voice_fa_18205642.mp3	sedam ro nemitooni beshnavi.	صدام رو نمي توني بشنوي
common_voice_fa_18205794.mp3	daghighan mesle zanam marin.	دقيقا مثل زن عمو مارين
common_voice_fa_18205795.mp3	mikhaham maharathaie mesle sakht o saz va bargh ro biamoozam.	میخواهند مهارتهایی مثل ساخت و ساز و برق را بیاموزند
common_voice_fa_18205796.mp3	hasan delesh baram tang mishe.	حسن، دلش برام تنگ میشه
common_voice_fa_18205797.mp3	va ziad darbarey mosharekat modiriat dar masael atefi sohbat mikonam.	و زیاد درباره مشارکت مدیریت در مسائل عاطفی صحبت میکنند
common_voice_fa_18205798.mp3	chi baes shod in hame sul.	چي باعث شد اين همه سال
common_voice_fa_18205874.mp3	man dige motmaen nistam ke.	من ديگه مطمئن نيستم که
common_voice_fa_18205875.mp3	moshaveram.	مشاورم
common_voice_fa_18205876.mp3	ye baste vaghti baste bashe.	يه بسته وقتي بسته باشه
common_voice_fa_18205877.mp3	ma kheyli bozorg boodim.	ما خيلي بزرگ بوديم
common_voice_fa_18205878.mp3	banabarin dar sanat fanavar be rahehalhay sari niaz darim.	بنابراین در صنعت فناور به راهحلهای سریع نیاز داریم
common_voice_fa_18206580.mp3	tou mavad ro amade kon.	تو مواد رو اماده کن
common_voice_fa_18206581.mp3	akharin roozhay esfand hal khoobi ro daram.	اخرین روزای اسفند حال خوبی رو دارم
common_voice_fa_18206582.mp3	oon mivehat ro bardar.	اون ميوه هات رو بردار
common_voice_fa_18206583.mp3	dashtam tagheeri bozorg ro dar donya shekl midadam.	داشتم تغییری بزرگ را در دنیا شکل میدادم
common_voice_fa_18206585.mp3	az damaghet dare khoon miad.	از دماغت داره خون مياد
common_voice_fa_18206586.mp3	mikhasti tou kar mod beri.	.ميخاستي تو کار مد بري
common_voice_fa_18206587.mp3	vahshatzade atraf ro negah mikonad. ki oonjast? goftam ki oonjast? ki hasti?	وحشت زده اطراف را نگاه می کند کی اونجاست؟ گفتم کی اونجاست؟ کی هستی؟
common_voice_fa_18206588.mp3	anjam dadan karhaie ke faratar az vazifat bood.	انجام دادن کارایی که فراتر از وظیفه ت بود
common_voice_fa_18206595.mp3	khoobe ke jameeye pezeshki.	.خوبه که جامعه پزشکي
common_voice_fa_18206596.mp3	tou bayad biyay ta betoonim.	تو بايد بياي تا بتونيم
common_voice_fa_18206597.mp3	pesarak ba shojaat khod ra baraye marg amade kardeh bood. choon fekr mikard ke gharar ast  ke tamam khoonash ra be khaharash bedahad.	پسرک با شجاعت خود را اماده مرگ کرده بود،چون فکر می کرد که قرار است تمام خونش را به خواهرش بدهد!
common_voice_fa_18206598.mp3	baraye khandan shoroot bar rooye yek gooshiy motavasset.	برای خواندن شروط برروی یک گوشی متوسط
common_voice_fa_18206599.mp3	ye chek panjah hezar dolary baraye.	يه چک 50000 دلاري براي
common_voice_fa_18206606.mp3	verd zaboon hameh hast ba oon tasbih o sajadeie ke pahn mikonand.	ورد زبون همست. با اون تسبیح و سجاده ای که پهن می کنه
common_voice_fa_18206607.mp3	ba faryud chand bar begam? chera be kharj kasi nemireh?doost darin hamishe dast zoor rou saretoon bashe? 	بافریاد چندبار بگم؟ چرا به خرج کسی نمیره؟ دوست دارین همیشه دست زور رو سرتون باشه؟
common_voice_fa_18206608.mp3	be toor kholase berandcheski modiramel mara be dalil daneshem dar in sanat davat be kar kard vali chizi ke eraeh dadam kheradi bood ke be khoobi kasb karde boodam.	بطور خلاصه، برایان چسکی مدیرعامل مرا به دلیل دانشم در این صنعت دعوت به کار کرد، ولی چیزی که واقعاً ارائه دادم خردی بود که به خوبی کسب کرده بودم
common_voice_fa_18206609.mp3	ba cheshmaye koochik o baragh.	با چشمای کوچیک و براق
common_voice_fa_18206620.mp3	bababozorgam moshkel ghalbi dasht. doktoresh goft saay konid narahatesh nakonid.	بابابزرگم مشکل قلبی داشت،دکترش گفت سعی کنید ناراحتش نکنید
common_voice_fa_18206621.mp3	hich kari bokonid.	هيچ کاري نمي توني بکني
common_voice_fa_18206624.mp3	oon tamam sharayet ro dare.	اون تمام شرايط رو داره
common_voice_fa_18206640.mp3	oh man ham az ou mikham.	اوه منم از اون ميخوام
common_voice_fa_18206641.mp3	oono bedesh man bezar bahash sohbat konam.	اونو بدش من، بذار باهاش صحبت کنم
common_voice_fa_18206644.mp3	ye shoar darim behesh migim yeki az akhlaghay khoob man ro begoo migeh age begam porroo mishi.	یه شوهر داریم بهش میگم یکی از اخلاقای خوب من رو بگو،میگه اگه بگم پررو میشی
common_voice_fa_18206647.mp3	migooyam ghasd nadaram behesh zehniat bedam.	میگویم قصد ندارم بهش ذهنیت بدهم
common_voice_fa_18206649.mp3	man ba oon biroon nemiram.	من با اون بيرون نمي رم
common_voice_fa_18206652.mp3	va in mesal digari baray rahbaran ast.	و این مثال دیگری برای رهبران است
common_voice_fa_18206653.mp3	eynak inha ro bash.	عینک اینا رو باش
common_voice_fa_18206654.mp3	man dashtam tashbih mekardam.	من داشتم تشبيه مي کردم
common_voice_fa_18206663.mp3	momkene hichchi nayad.	ممکنه هيچي گيرمون نياد
common_voice_fa_18206664.mp3	migam javad gamoonam chizish shodeh.	میگم جواد،گمونم چیزیش شده
common_voice_fa_18206725.mp3	tou ke nishet bazeh che toor?	تو که نيشت بازه چطور ؟
common_voice_fa_18206729.mp3	in behtare ta inke be bahooneye dars o mashgh har rooz bere khoonashoon.	این بهتره تا اینکه به بهونه درس و مشق هر روز بره خونه شون.
common_voice_fa_18206760.mp3	oon malek hame chieye.	.اون مالك همه چيه.
common_voice_fa_18206761.mp3	har yek chandin zaban khareji balad boodand.	هر یک چندین زبان خارجی بلد بودند
common_voice_fa_18206762.mp3	kar ro bedoon tou anjam bedam?	کارو بدون تو انجام بدم
common_voice_fa_18206763.mp3	posht sahney barnamehay tond televisiony.	پشتصحنهی برنامههای لایو تلویزیونی
common_voice_fa_18206764.mp3	esme hamotaghitoon chieye?	.اسم هم اتاقيتون چيه
common_voice_fa_18206783.mp3	man dar mored sagha bayad begam sharmandeam.	در مورد سگا باید بگم شرمنده ام
common_voice_fa_18206785.mp3	ba tamaskhor labod mikhay ba jaroo o khakandaz partam koni biroon? are? vay tarsidam.	با تمسخر لابد میخوای با جارو خاک انداز پرتم کنی بیرون؟ آره؟ وای ترسیدم.
common_voice_fa_18206788.mp3	khob hala be eftekhar tamam kashefhay koochooloo.	خوب،حالا به افتخار تمام کاشفای کوچولو
common_voice_fa_18206789.mp3	man in ro az yeki az ketab haye tou ye ketab khaneh kandam.	مسلما اونکارو مي کنيم
common_voice_fa_18206796.mp3	mosallaman oon kar ro mikonim.	من اینو از تو یکی از کتابای کتابخونه کندم
common_voice_fa_18206798.mp3	harfe digeie nadari bezani?	حرف دیگه ندارین بزنین؟
common_voice_fa_18206799.mp3	aslan hame tashrif biarin khouneye ma.	اصلن همه تشریف بیارین خونه ما.
common_voice_fa_18206805.mp3	va yadashti az janeb shah ke in sekeh ha mal kasi ast ke sang ra kenar bezanad.	و یادداشتی از جانب شاه که این سکه ها مال کسی است که سنگ را از جاده کنار بزند
common_voice_fa_18206806.mp3	hey telephonat ra be man bedeh.	«هی، تلفنت را به من بده
common_voice_fa_18206807.mp3	vay oonja ro negah kon.	واي، اونجا رو نگاه کن
common_voice_fa_18206808.mp3	touye kelassemoun fazaye kheili khoubi boud taghriban hame baham rahat boudim.	تو کلاسمون فضای خیلی خوبی بود تقریبا همه با هم راحت بودیم
common_voice_fa_18206809.mp3	ouna behem tohmat drough gouei zadand.	اونا بهم تهمت دروغگویی زدن
common_voice_fa_18206870.mp3	nabayad in kar rou mikardi.	نبايد اين کارو مي کردي
common_voice_fa_18206871.mp3	asiaban goft tou ke chenin mostajabodave hasti doa kon gandomat ard shavad.	اسیابان گفت: تو که چنین مستجاب الدعوه هستی دعا کن گندمت ارد بشود
common_voice_fa_18206872.mp3	ke dar saye ye abshar, ba shokouh behesht penhan shode.	که در سایه ی ابشار با شکوه بهشت پنهان شده
common_voice_fa_18206873.mp3	vase pardakht poul bashgah.	واسه پرداخت پول باشگاه
common_voice_fa_18206874.mp3	moshabeh shoma man niz chenin barnameh bar rouye goushi khod daram, va dar sourat estefadeh ye dorost mitavan az zendegi asan tar, rahat tar va hata momken ast salem tar shavad.	مشابه شما، من نیز چندین برنامه بر روی گوشی خود دارم، و در صورت استفاده درست، میتواند زندگی آسانتر، راحتتر و حتی ممکن است سالمتر شود
common_voice_fa_18206935.mp3	in alan aslan mohem nist.	اين الان اصلا مهم نيست
common_voice_fa_18206936.mp3	nemitounest saresh rou bendazad payien biad inja.	نمی تونه سرشو بندازه پایین بیاد اینجا
common_voice_fa_18206937.mp3	oh khodaye man chi shode?	اوه ، خداي من. چي شده؟
common_voice_fa_18206938.mp3	be sandough postam dast nazan.	به صندوق پستم دست نزن
common_voice_fa_18206939.mp3	oun ja ha kasi ro nemibini tou dastesh ketab nabashe.	اون جاها، کسی رو نمیبینی که تو دستش کتاب نباشه
common_voice_fa_18206947.mp3	in sag alan goft salam.	این سگه الان گفت:سلام
